"A. Krzyzak"	["E. Skubalska-Rafajtowicz"]
"E. Skubalska-Rafajtowicz"	["A. Krzyzak"]
"Eric Grebler"	[]
"Eva Lange"	["Nico Pfeifer","Clemens Gr\u00f6pl","Marc Sturm","Knut Reinert","Oliver Kohlbacher","Ole Schulz-Trieglaff"]
"Gene Orwell"	[]
"Gideon Kunda"	["Stephen R. Barley","Gideon Kunda "]
"Hans J. Skovgaard"	["Arthur Greef","Palle Agermark","Lars Dragheim Olsen","Michael Fruergaard Pontoppidan"]
"Helen Ashman"	["Barry Smyth","Vincent Wade"]
"Hernan P. Awad"	["Peter W. Glynn "]
"Hiroshi Sako"	[" Hiroshi Sako","Cheng-Lin Liu"]
"Hoon Hong"	["Dongming Wang"]
"Ian David Aronson"	[]
"J. Knipe"	["X. Li"]
"Jake Chen"	["Jake Chen ","Zongmin Ma"]
"James R. McGraw"	["Charles S. Wetherell "," Jr.","Lyle A. Cox"]
"Jan Treur"	["Tibor Bosse","Catholijn M. Jonker"]
"Jason Eckert"	[]
"Jeff Kent"	["Jeff Kent "]
"Jeong-woo Sohn"	["Daeyeol Lee "]
"John Blaint"	[]
"John Copas"	["Shinto Eguchi"]
"John Etchemendy"	["Jon Barwise","John Etchemendy "]
"John Maeda"	["Red Burns "]
"John Odam"	[]
"John Preston"	["Shelley Gaskin","Sally Preston "]
"John R. Mick"	[]
"Jon Barwise"	["John Etchemendy "]
"Jose Pedro Llamazares"	[]
"Jr."	["James R. McGraw","Charles S. Wetherell "," Jr.","Lyle A. Cox"]
"June Jamrich Parsons"	["Dan Oja "]
"Ken Abernethy"	["Ken Abernethy "]
"Knut Reinert"	["Nico Pfeifer","Clemens Gr\u00f6pl","Marc Sturm","Eva Lange","Oliver Kohlbacher","Ole Schulz-Trieglaff"]
"Korinna Patelis"	["Korinna Patelis "]
"Lars Dragheim Olsen"	["Hans J. Skovgaard","Arthur Greef","Palle Agermark","Michael Fruergaard Pontoppidan"]
"Lee Humphreys"	["Paul Messaris"]
"Lionel Felix"	["Damien Stolarz "]
"Lipika Dey"	["Amir Ahmad","Lipika Dey "]
"Lyle A. Cox"	["James R. McGraw","Charles S. Wetherell "," Jr."]
"Marc Sturm"	["Nico Pfeifer","Clemens Gr\u00f6pl","Knut Reinert","Eva Lange","Oliver Kohlbacher","Ole Schulz-Trieglaff"]
"Marcin Detyniecki"	["Andreas N\u00fcrnberger","Marcin Detyniecki "]
"Marjorie M. K. Hlava"	["Alice Redmond-neal"]
"Michael Cloran"	["Michael Cloran "]
"Michael Fruergaard Pontoppidan"	["Hans J. Skovgaard","Arthur Greef","Palle Agermark","Lars Dragheim Olsen"]
"Michael Rosenblum"	["Vahid Tarokh","Michel X. Goemans","Constantine Caramanis"]
"Michael Schrenk"	["Michael Shrenk"]
"Michael Shrenk"	["Michael Schrenk"]
"Michael Smick"	[]
"Michael T. Goodrich"	["Michael T. Goodrich "]
"Michel X. Goemans"	["Vahid Tarokh","Michael Rosenblum","Constantine Caramanis"]
"Neil Daswani"	["Anita Kesavan"]
"Nico Pfeifer"	["Clemens Gr\u00f6pl","Marc Sturm","Knut Reinert","Eva Lange","Oliver Kohlbacher","Ole Schulz-Trieglaff"]
"Nightow Yoshiro"	["Nightow Yoshiro "]
"Nita Hewitt Rutkosky"	["Denise Seguin "]
"Ole Schulz-Trieglaff"	["Nico Pfeifer","Clemens Gr\u00f6pl","Marc Sturm","Knut Reinert","Eva Lange","Oliver Kohlbacher"]
"Oliver Kohlbacher"	["Nico Pfeifer","Clemens Gr\u00f6pl","Marc Sturm","Knut Reinert","Eva Lange","Ole Schulz-Trieglaff"]
"Palle Agermark"	["Hans J. Skovgaard","Arthur Greef","Lars Dragheim Olsen","Michael Fruergaard Pontoppidan"]
"Pamela W. Adams"	["Pamela W. Adams "]
"Parminder Flora"	["Ahmed Hassan"]
"Paul Holden"	["Brenden Munnelly","Paul Holden "]
"Paul Messaris"	["Lee Humphreys"]
"Peter W. Glynn"	["Peter W. Glynn ","Hernan P. Awad"]
"R. Kelly Rainer"	[]
"Red Burns"	["Red Burns ","John Maeda"]
"Ron Dulin"	["Ron Dulin "]
"Rudolph Langer"	["Rudolph Langer "]
"Sally Preston"	["John Preston","Shelley Gaskin","Sally Preston "]
"Shelley Gaskin"	["John Preston","Sally Preston "]
"Shinto Eguchi"	["John Copas"]
"Stanley Habib"	[]
"Stephen R. Barley"	["Gideon Kunda "]
"Steve Holzner"	[]
"Svetlana Cicmil"	["Damian Hodgson","Svetlana Cicmil "]
"Ted Lewis"	["Bruce Shriver "]
"Tibor Bosse"	["Jan Treur","Catholijn M. Jonker"]
"Tom Collins"	["Tom Collins "]
"Torsten Suel"	["Torsten Suel ","Xiaohui Long"]
"Vahid Tarokh"	["Michael Rosenblum","Constantine Caramanis","Michel X. Goemans"]
"Vincent Wade"	["Barry Smyth","Helen Ashman"]
"W. E. Clason"	["W. E. Clason "]
"Wayne L. Winston"	["Wayne L. Winston "]
"William J. Tracz"	["William J. Tracz "]
"Woody Leonhard"	["Woody Leonhard "]
"X. Li"	["J. Knipe"]
"Xiaohui Long"	["Torsten Suel "]
"Zongmin Ma"	["Jake Chen "]
